N = 1205	 sto = 0.000000	 sw = 1.000000	MeanV1 = 4.628078	MeanO1 = 0.120278	MeanV2 = 4.621041	MeanO2 = 0.120723	 rate = 0.005000
N = 1225	 sto = 0.000000	 sw = 0.000000	MeanV1 = 4.599371	MeanO1 = 0.127598	MeanV2 = 4.631247	MeanO2 = 0.117401	 rate = 0.000000
N = 1225	 sto = 0.000000	 sw = 1.000000	MeanV1 = 4.614172	MeanO1 = 0.122585	MeanV2 = 4.625137	MeanO2 = 0.122413	 rate = 0.007500
N = 1245	 sto = 0.000000	 sw = 0.000000	MeanV1 = 4.609381	MeanO1 = 0.124396	MeanV2 = 4.608746	MeanO2 = 0.124603	 rate = 0.000000
N = 1245	 sto = 0.000000	 sw = 1.000000	MeanV1 = 4.619973	MeanO1 = 0.124387	MeanV2 = 4.608604	MeanO2 = 0.124611	 rate = 0.007875
N = 1265	 sto = 0.000000	 sw = 0.000000	MeanV1 = 4.613747	MeanO1 = 0.122994	MeanV2 = 4.591878	MeanO2 = 0.130002	 rate = 0.000000
N = 1265	 sto = 0.000000	 sw = 1.000000	MeanV1 = 4.609336	MeanO1 = 0.126276	MeanV2 = 4.602285	MeanO2 = 0.126720	 rate = 0.005000
N = 1285	 sto = 0.000000	 sw = 0.000000	MeanV1 = 4.590003	MeanO1 = 0.130605	MeanV2 = 4.603130	MeanO2 = 0.126401	 rate = 0.000000
N = 1285	 sto = 0.000000	 sw = 1.000000	MeanV1 = 4.599865	MeanO1 = 0.128330	MeanV2 = 4.596264	MeanO2 = 0.128666	 rate = 0.002750
N = 1305	 sto = 0.000000	 sw = 0.000000	MeanV1 = 4.585001	MeanO1 = 0.132201	MeanV2 = 4.595621	MeanO2 = 0.128805	 rate = 0.000000
N = 1305	 sto = 0.000000	 sw = 1.000000	MeanV1 = 4.598433	MeanO1 = 0.130239	MeanV2 = 4.589688	MeanO2 = 0.130769	 rate = 0.006125
N = 1325	 sto = 0.000000	 sw = 0.000000	MeanV1 = 4.576876	MeanO1 = 0.134801	MeanV2 = 4.591254	MeanO2 = 0.130197	 rate = 0.000000
N = 1325	 sto = 0.000000	 sw = 1.000000	MeanV1 = 4.591814	MeanO1 = 0.132435	MeanV2 = 4.583790	MeanO2 = 0.132557	 rate = 0.005625
N = 1345	 sto = 0.000000	 sw = 0.000000	MeanV1 = 4.593746	MeanO1 = 0.129398	MeanV2 = 4.561870	MeanO2 = 0.139596	 rate = 0.000000
N = 1345	 sto = 0.000000	 sw = 1.000000	MeanV1 = 4.578991	MeanO1 = 0.134603	MeanV2 = 4.580375	MeanO2 = 0.134400	 rate = 0.000750
N = 1365	 sto = 0.000000	 sw = 0.000000	MeanV1 = 4.566875	MeanO1 = 0.138000	MeanV2 = 4.576255	MeanO2 = 0.135003	 rate = 0.000000
N = 1365	 sto = 0.000000	 sw = 1.000000	MeanV1 = 4.570640	MeanO1 = 0.136541	MeanV2 = 4.578208	MeanO2 = 0.136461	 rate = 0.005250
N = 1385	 sto = 0.000000	 sw = 0.000000	MeanV1 = 4.557504	MeanO1 = 0.140998	MeanV2 = 4.573125	MeanO2 = 0.135995	 rate = 0.000000
N = 1385	 sto = 0.000000	 sw = 1.000000	MeanV1 = 4.566236	MeanO1 = 0.138604	MeanV2 = 4.567603	MeanO2 = 0.138401	 rate = 0.000625
N = 1405	 sto = 0.000000	 sw = 0.000000	MeanV1 = 4.548127	MeanO1 = 0.144001	MeanV2 = 4.569993	MeanO2 = 0.136999	 rate = 0.000000
N = 1405	 sto = 0.000000	 sw = 1.000000	MeanV1 = 4.557657	MeanO1 = 0.140772	MeanV2 = 4.567676	MeanO2 = 0.140228	 rate = 0.006875
N = 1425	 sto = 0.000000	 sw = 0.000000	MeanV1 = 4.541884	MeanO1 = 0.145999	MeanV2 = 4.563751	MeanO2 = 0.139002	 rate = 0.000000
N = 1425	 sto = 0.000000	 sw = 1.000000	MeanV1 = 4.551455	MeanO1 = 0.142676	MeanV2 = 4.565821	MeanO2 = 0.142318	 rate = 0.009750
N = 1445	 sto = 0.000000	 sw = 0.000000	MeanV1 = 4.541884	MeanO1 = 0.145999	MeanV2 = 4.551253	MeanO2 = 0.143003	 rate = 0.000000
N = 1445	 sto = 0.000000	 sw = 1.000000	MeanV1 = 4.548489	MeanO1 = 0.144368	MeanV2 = 4.546633	MeanO2 = 0.144633	 rate = 0.000625
N = 1465	 sto = 0.000000	 sw = 0.000000	MeanV1 = 4.557504	MeanO1 = 0.140998	MeanV2 = 4.523123	MeanO2 = 0.151997	 rate = 0.000000
N = 1465	 sto = 0.000000	 sw = 1.000000	MeanV1 = 4.550013	MeanO1 = 0.146181	MeanV2 = 4.539559	MeanO2 = 0.146822	 rate = 0.007250
N = 1485	 sto = 0.000000	 sw = 0.000000	MeanV1 = 4.539369	MeanO1 = 0.146796	MeanV2 = 4.528764	MeanO2 = 0.150205	 rate = 0.000000
N = 1485	 sto = 0.000000	 sw = 1.000000	MeanV1 = 4.542178	MeanO1 = 0.148217	MeanV2 = 4.533425	MeanO2 = 0.148783	 rate = 0.006125
N = 1505	 sto = 0.000000	 sw = 0.000000	MeanV1 = 4.501864	MeanO1 = 0.158806	MeanV2 = 4.553746	MeanO2 = 0.142204	 rate = 0.000000
